Player,Nation,Pos,Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Matches
Caio Alexandre,br BRA,MF,24-273,31,29,2404.0,26.7,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,1.9,1.9,2.7,4.6,87.0,202.0,38.0,0.07,0.07,0.15,0.07,0.15,0.07,0.1,0.17,0.07,0.17,Matches
João Ricardo Riedi,br BRA,GK,35-079,28,28,2520.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Emanuel Brítez,ar ARG,DF,31-243,28,28,2491.0,27.7,0.0,1.0,1.0,0.0,0.0,0.0,11.0,1.0,1.0,1.0,0.6,1.6,19.0,85.0,17.0,0.0,0.04,0.04,0.0,0.04,0.04,0.02,0.06,0.04,0.06,Matches
Titi,br BRA,DF,35-257,28,28,2486.0,27.6,0.0,1.0,1.0,0.0,0.0,0.0,10.0,0.0,0.3,0.3,0.4,0.6,15.0,97.0,2.0,0.0,0.04,0.04,0.0,0.04,0.01,0.01,0.02,0.01,0.02,Matches
Bruno Pacheco,br BRA,DF,31-351,28,27,2404.0,26.7,2.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0,0.9,0.9,1.8,2.7,45.0,125.0,95.0,0.07,0.11,0.19,0.07,0.19,0.03,0.07,0.1,0.03,0.1,Matches
Guilherme Tinga,br BRA,DF,30-084,27,25,2223.0,24.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.6,1.6,1.8,3.4,45.0,105.0,106.0,0.04,0.0,0.04,0.04,0.04,0.07,0.07,0.14,0.07,0.14,Matches
Tomas Pochettino,ar ARG,"MF,FW",27-296,32,25,1888.0,21.0,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,2.8,2.8,3.1,5.8,51.0,99.0,127.0,0.1,0.1,0.19,0.1,0.19,0.13,0.15,0.28,0.13,0.28,Matches
Juan Martín Lucero,ar ARG,FW,31-359,28,22,1942.0,21.6,8.0,0.0,8.0,5.0,3.0,3.0,2.0,0.0,8.9,6.6,1.1,7.7,19.0,33.0,96.0,0.37,0.0,0.37,0.23,0.23,0.41,0.05,0.47,0.3,0.36,Matches
Thiago Galhardo,br BRA,"FW,MF",34-127,30,17,1658.0,18.4,4.0,2.0,6.0,2.0,2.0,2.0,5.0,0.0,6.8,5.3,2.3,7.6,24.0,67.0,87.0,0.22,0.11,0.33,0.11,0.22,0.37,0.13,0.5,0.29,0.41,Matches
José Welison,br BRA,MF,28-258,22,17,1393.0,15.5,1.0,2.0,3.0,1.0,0.0,0.0,7.0,0.0,0.8,0.8,1.1,1.9,17.0,100.0,30.0,0.06,0.13,0.19,0.06,0.19,0.05,0.07,0.12,0.05,0.12,Matches
