Player,Nation,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Matches
Bento,br BRA,GK,24-167,29,29,2610.0,29.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.01,0.01,0.0,0.01,Matches
Thiago Heleno,br BRA,DF,35-068,29,28,2509.0,27.9,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.8,0.8,0.2,1.0,2.0,82.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Matches
Erick,br BRA,MF,26-010,29,26,2139.0,23.8,4.0,3.0,7.0,4.0,0.0,0.0,6.0,0.0,4.8,4.8,2.4,7.2,25.0,99.0,27.0,0.17,0.13,0.29,0.17,0.29,0.2,0.1,0.3,0.2,0.3,Matches
Agustín Canobbio,uy URU,"FW,MF",25-054,27,21,1981.0,22.0,3.0,5.0,8.0,3.0,0.0,0.0,10.0,0.0,4.7,4.7,3.3,8.0,76.0,70.0,198.0,0.14,0.23,0.36,0.14,0.36,0.22,0.15,0.37,0.22,0.37,Matches
Vitor Bueno,br BRA,"MF,FW",29-080,28,21,1786.0,19.8,4.0,4.0,8.0,1.0,3.0,3.0,7.0,0.0,5.0,2.8,6.0,8.8,63.0,128.0,99.0,0.2,0.2,0.4,0.05,0.25,0.25,0.3,0.56,0.14,0.44,Matches
Fernandinho,br BRA,MF,38-204,22,20,1666.0,18.5,1.0,3.0,4.0,0.0,1.0,1.0,10.0,1.0,1.1,0.4,1.9,2.2,30.0,169.0,43.0,0.05,0.16,0.22,0.0,0.16,0.06,0.1,0.16,0.02,0.12,Matches
Tomás Cuello,ar ARG,"FW,MF",23-264,28,18,1721.0,19.1,0.0,4.0,4.0,0.0,0.0,0.0,3.0,0.0,1.5,1.5,4.4,5.9,69.0,52.0,142.0,0.0,0.21,0.21,0.0,0.21,0.08,0.23,0.31,0.08,0.31,Matches
Vitor Roque,br BRA,FW,18-269,22,18,1558.0,17.3,11.0,3.0,14.0,11.0,0.0,0.0,6.0,0.0,8.2,8.2,1.2,9.4,40.0,22.0,105.0,0.64,0.17,0.81,0.64,0.81,0.48,0.07,0.54,0.48,0.54,Matches
Lucas Esquivel,ar ARG,DF,22-041,18,17,1561.0,17.3,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,1.4,1.6,27.0,65.0,46.0,0.0,0.06,0.06,0.0,0.06,0.01,0.08,0.09,0.01,0.09,Matches
Cacá,br BRA,DF,24-213,16,16,1424.0,15.8,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,1.1,1.1,0.3,1.4,10.0,33.0,7.0,0.13,0.0,0.13,0.13,0.13,0.07,0.02,0.09,0.07,0.09,Matches
Pablo,br BRA,FW,31-154,25,14,1396.0,15.5,7.0,2.0,9.0,7.0,0.0,0.0,3.0,0.0,6.1,6.1,1.6,7.7,15.0,36.0,60.0,0.45,0.13,0.58,0.45,0.58,0.39,0.1,0.49,0.39,0.49,Matches
Hugo Moura,br BRA,MF,25-325,28,14,1229.0,13.7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.3,0.3,0.2,0.5,11.0,50.0,10.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.04,0.02,0.04,Matches
Khellven,br BRA,DF,22-272,15,13,995.0,11.1,0.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.4,3.4,18.0,18.0,51.0,0.0,0.36,0.36,0.0,0.36,0.09,0.22,0.31,0.09,0.31,Matches
Mádson,br BRA,DF,31-315,20,12,1095.0,12.2,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.8,0.8,3.7,4.4,7.0,41.0,58.0,0.08,0.16,0.25,0.08,0.25,0.06,0.3,0.36,0.06,0.36,Matches
Bruno Zapelli,ar ARG,"MF,FW",21-191,17,12,1047.0,11.6,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,2.3,2.3,1.8,4.2,29.0,62.0,66.0,0.17,0.17,0.34,0.17,0.34,0.2,0.16,0.36,0.2,0.36,Matches
Christian,br BRA,"MF,FW",22-340,17,10,1045.0,11.6,4.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,2.5,2.5,1.2,3.7,18.0,60.0,51.0,0.34,0.0,0.34,0.34,0.34,0.21,0.1,0.32,0.21,0.32,Matches
Zé Ivaldo,br BRA,DF,26-276,14,10,1016.0,11.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.1,0.1,0.1,0.2,9.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches
Pedro Henrique,br BRA,DF,28-053,11,10,855.0,9.5,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.6,0.6,0.1,0.7,8.0,35.0,2.0,0.11,0.0,0.11,0.11,0.11,0.06,0.01,0.07,0.06,0.07,Matches
Alex Santana,br BRA,MF,28-195,20,9,988.0,11.0,3.0,0.0,3.0,3.0,0.0,0.0,5.0,1.0,1.2,1.2,0.2,1.3,19.0,45.0,17.0,0.27,0.0,0.27,0.27,0.27,0.11,0.01,0.12,0.11,0.12,Matches
Fernando,br BRA,DF,24-071,6,6,477.0,5.3,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.9,0.9,17.0,15.0,31.0,0.0,0.38,0.38,0.0,0.38,0.01,0.16,0.17,0.01,0.17,Matches
Arturo Vidal,cl CHI,MF,36-186,7,6,380.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.3,0.4,1.0,14.0,18.0,0.0,0.0,0.0,0.0,0.0,0.03,0.07,0.1,0.03,0.1,Matches
Rômulo,br BRA,"FW,MF",21-289,16,5,462.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,0.1,1.5,9.0,9.0,33.0,0.0,0.0,0.0,0.0,0.0,0.28,0.02,0.3,0.28,0.3,Matches
