Player,Nation,Pos,Age,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Matches
Bento,br BRA,GK,24-167,29.0,787.0,467.0,313.0,62.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,501.0,7.0,1.0,Matches
Thiago Heleno,br BRA,DF,35-068,27.9,1387.0,1309.0,74.0,72.0,1.0,15.0,0,0.0,0.0,0.0,0.0,0.0,1157.0,4.0,7.0,Matches
Erick,br BRA,MF,26-010,23.8,974.0,951.0,19.0,14.0,4.0,11.0,3,5.0,0.0,0.0,0.0,0.0,831.0,4.0,9.0,Matches
Agustín Canobbio,uy URU,"FW,MF",25-054,22.0,758.0,695.0,61.0,6.0,7.0,3.0,60,37.0,18.0,4.0,5.0,0.0,573.0,2.0,28.0,Matches
Vitor Bueno,br BRA,"MF,FW",29-080,19.8,902.0,784.0,114.0,37.0,12.0,8.0,127,6.0,69.0,29.0,39.0,0.0,662.0,4.0,20.0,Matches
Fernandinho,br BRA,MF,38-204,18.5,1058.0,1000.0,56.0,46.0,8.0,17.0,9,10.0,0.0,0.0,0.0,0.0,894.0,2.0,14.0,Matches
Tomás Cuello,ar ARG,"FW,MF",23-264,19.1,790.0,665.0,122.0,11.0,1.0,6.0,102,88.0,23.0,9.0,10.0,0.0,531.0,3.0,28.0,Matches
Vitor Roque,br BRA,FW,18-269,17.3,253.0,209.0,43.0,2.0,1.0,0.0,6,5.0,0.0,0.0,0.0,0.0,186.0,1.0,17.0,Matches
Lucas Esquivel,ar ARG,DF,22-041,17.3,1023.0,780.0,240.0,47.0,1.0,7.0,82,167.0,26.0,7.0,16.0,1.0,759.0,3.0,21.0,Matches
Cacá,br BRA,DF,24-213,15.8,621.0,600.0,19.0,18.0,0.0,4.0,2,1.0,0.0,0.0,0.0,0.0,514.0,2.0,5.0,Matches
Pablo,br BRA,FW,31-154,15.5,442.0,410.0,29.0,8.0,2.0,4.0,10,4.0,0.0,0.0,0.0,0.0,338.0,3.0,15.0,Matches
Hugo Moura,br BRA,MF,25-325,13.7,576.0,553.0,21.0,15.0,0.0,17.0,7,6.0,0.0,0.0,0.0,0.0,482.0,2.0,8.0,Matches
Khellven,br BRA,DF,22-272,11.1,468.0,350.0,113.0,10.0,2.0,3.0,40,91.0,12.0,3.0,7.0,0.0,318.0,5.0,14.0,Matches
Mádson,br BRA,DF,31-315,12.2,437.0,330.0,105.0,9.0,0.0,1.0,15,96.0,0.0,0.0,0.0,0.0,300.0,2.0,6.0,Matches
Bruno Zapelli,ar ARG,"MF,FW",21-191,11.6,529.0,475.0,49.0,9.0,8.0,7.0,34,7.0,28.0,6.0,11.0,0.0,395.0,5.0,14.0,Matches
Christian,br BRA,"MF,FW",22-340,11.6,485.0,459.0,25.0,4.0,2.0,4.0,19,20.0,1.0,0.0,1.0,0.0,382.0,1.0,19.0,Matches
Zé Ivaldo,br BRA,DF,26-276,11.3,567.0,527.0,38.0,28.0,0.0,19.0,3,10.0,0.0,0.0,0.0,0.0,457.0,2.0,5.0,Matches
Pedro Henrique,br BRA,DF,28-053,9.5,472.0,455.0,17.0,17.0,0.0,14.0,4,0.0,0.0,0.0,0.0,0.0,399.0,0.0,3.0,Matches
Alex Santana,br BRA,MF,28-195,11.0,432.0,418.0,14.0,13.0,0.0,4.0,3,1.0,0.0,0.0,0.0,0.0,377.0,0.0,7.0,Matches
Fernando,br BRA,DF,24-071,5.3,322.0,264.0,57.0,3.0,0.0,2.0,21,54.0,0.0,0.0,0.0,0.0,260.0,1.0,5.0,Matches
Arturo Vidal,cl CHI,MF,36-186,4.2,179.0,162.0,16.0,8.0,0.0,2.0,7,5.0,2.0,1.0,0.0,0.0,143.0,1.0,4.0,Matches
Rômulo,br BRA,"FW,MF",21-289,5.1,171.0,155.0,15.0,2.0,0.0,1.0,8,12.0,0.0,0.0,0.0,0.0,115.0,1.0,9.0,Matches
Leonardo Linck,br BRA,GK,22-266,5.0,132.0,78.0,54.0,24.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,1.0,Matches
Kaique Rocha,br BRA,DF,22-269,4.9,186.0,174.0,11.0,6.0,0.0,1.0,0,2.0,0.0,0.0,0.0,0.0,158.0,1.0,3.0,Matches
Matheus Felipe,br BRA,DF,25-015,4.8,182.0,170.0,11.0,9.0,0.0,3.0,0,2.0,0.0,0.0,0.0,0.0,147.0,1.0,1.0,Matches
David Terans,uy URU,"MF,FW",29-105,4.4,139.0,114.0,23.0,5.0,2.0,4.0,20,4.0,13.0,4.0,8.0,0.0,102.0,2.0,3.0,Matches
Pedrinho,br BRA,"DF,MF",21-136,4.0,200.0,167.0,31.0,4.0,0.0,0.0,6,27.0,0.0,0.0,0.0,0.0,155.0,2.0,3.0,Matches
Vinicius Kaue,br BRA,"DF,MF",20-268,3.3,173.0,135.0,38.0,3.0,0.0,0.0,8,35.0,0.0,0.0,0.0,0.0,129.0,0.0,8.0,Matches
Willian,br BRA,"FW,MF",37-005,4.2,110.0,102.0,8.0,0.0,0.0,1.0,1,1.0,0.0,0.0,0.0,0.0,92.0,0.0,1.0,Matches
Léo Cittadini,br BRA,"MF,FW",29-270,2.2,79.0,73.0,6.0,4.0,0.0,0.0,6,0.0,1.0,0.0,1.0,0.0,65.0,0.0,3.0,Matches
Thiago,br BRA,"FW,MF",23-024,2.5,82.0,81.0,1.0,0.0,0.0,0.0,2,1.0,0.0,0.0,0.0,0.0,69.0,0.0,3.0,Matches
Luciano Arriagada,cl CHI,"FW,MF",21-218,2.1,51.0,49.0,2.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,39.0,0.0,2.0,Matches
Bruno Peres,br BRA,DF,33-268,1.5,71.0,58.0,13.0,2.0,0.0,1.0,3,11.0,0.0,0.0,0.0,0.0,57.0,0.0,2.0,Matches
Marcelo Cirino,br BRA,"FW,MF",31-306,1.1,18.0,18.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,Matches
Reinaldo,br BRA,FW,22-169,0.2,2.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Matches
Chiqueti,br BRA,MF,18-083,0.2,,,,,,,0,,,,,,,,,Matches
Danielzinho,br BRA,FW,21-149,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Matches
Bryan García,ec ECU,MF,22-310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,,,26.9,34.0,15060.0,13241.0,1758.0,498.0,52.0,159.0,609,708.0,193.0,63.0,98.0,1.0,11677.0,61.0,289.0,
Opponent Total,,,28.4,34.0,16335.0,14450.0,1828.0,551.0,38.0,120.0,625,685.0,172.0,75.0,60.0,0.0,12929.0,57.0,325.0,
