Player,Nation,Pos,Age,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Matches
Éverson,br BRA,GK,33-125,32.0,7,0.22,5,2,0,0,0,0,1,0.03,0,1,0,0,0,0,Matches
Paulinho,br BRA,"FW,MF",23-132,29.5,69,2.34,61,0,2,4,2,0,7,0.24,7,0,0,0,0,0,Matches
Hulk,br BRA,FW,37-122,28.7,141,4.92,64,13,18,13,31,2,18,0.63,9,1,3,1,4,0,Matches
Jemerson,br BRA,DF,31-092,24.5,15,0.61,11,0,0,4,0,0,2,0.08,1,0,0,1,0,0,Matches
Mauricio Lemos,uy URU,DF,27-331,23.1,12,0.52,11,0,0,1,0,0,3,0.13,3,0,0,0,0,0,Matches
Guilherme Arana,br BRA,DF,26-224,22.6,47,2.08,38,2,2,3,1,1,2,0.09,2,0,0,0,0,0,Matches
Otávio,br BRA,MF,29-204,21.9,32,1.46,30,0,0,0,2,0,0,0.0,0,0,0,0,0,0,Matches
Cristian Pavón,ar ARG,"FW,MF",27-307,20.0,80,3.98,54,5,9,6,5,1,9,0.45,8,0,1,0,0,0,Matches
Rodrigo Battaglia,ar ARG,MF,32-135,19.2,18,0.94,17,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Federico Zaracho,ar ARG,"MF,FW",25-259,18.9,37,1.96,26,1,3,1,4,2,2,0.11,2,0,0,0,0,0,Matches
Renzo Saravia,ar ARG,DF,30-161,17.5,33,1.88,20,4,2,2,3,2,5,0.29,3,0,0,0,1,1,Matches
Mariano,br BRA,DF,37-154,14.8,20,1.35,17,3,0,0,0,0,1,0.07,1,0,0,0,0,0,Matches
Rubens,br BRA,"DF,MF",22-156,13.7,24,1.75,17,1,3,1,1,1,2,0.15,2,0,0,0,0,0,Matches
Igor Gomes,br BRA,"MF,FW",24-252,13.0,46,3.54,34,7,4,0,1,0,3,0.23,2,0,1,0,0,0,Matches
Bruno Fuchs,br BRA,DF,24-237,12.1,10,0.83,10,0,0,0,0,0,2,0.17,2,0,0,0,0,0,Matches
Hyoran,br BRA,"MF,FW",30-183,7.7,31,4.04,20,6,1,3,1,0,1,0.13,1,0,0,0,0,0,Matches
Edenílson,br BRA,"MF,FW",33-341,11.7,32,2.74,27,1,0,1,2,1,3,0.26,2,0,0,1,0,0,Matches
Alan Franco,ec ECU,"MF,FW",25-095,8.7,13,1.49,11,0,0,1,0,1,1,0.11,0,0,0,1,0,0,Matches
Pedrinho,br BRA,"MF,FW",25-225,6.7,37,5.5,32,0,2,0,3,0,4,0.6,3,0,0,0,1,0,Matches
Igor Rabello,br BRA,DF,28-210,5.2,5,0.96,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Eduardo Vargas,cl CHI,FW,34-004,5.2,17,3.25,15,0,1,0,1,0,2,0.38,1,0,0,0,1,0,Matches
Nathan Silva,br BRA,DF,26-202,4.0,3,0.75,3,0,0,0,0,0,1,0.25,1,0,0,0,0,0,Matches
Patrick,br BRA,"MF,FW",31-118,6.1,13,2.14,5,1,3,0,3,1,1,0.16,0,0,0,0,1,0,Matches
Alan Kardec,br BRA,"FW,MF",34-316,2.7,8,2.96,7,0,0,0,1,0,1,0.37,1,0,0,0,0,0,Matches
Matheus Mendes,br BRA,GK,24-259,2.0,1,0.5,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Dodô,br BRA,DF,31-291,0.7,3,4.58,1,1,0,0,1,0,1,1.53,0,0,0,0,1,0,Matches
Alisson,br BRA,"MF,DF",18-064,0.5,4,8.78,3,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Réver,br BRA,"DF,FW",38-324,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Isaac,br BRA,FW,19-243,0.2,1,11.25,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Paulo Vitor,br BRA,MF,19-090,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Carlos Eduardo,br BRA,"MF,FW",19-184,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,29.5,34.0,759,22.32,546,47,51,41,62,12,72,2.12,51,2,5,4,9,1,
Opponent Total,,,28.3,34.0,733,21.56,487,82,46,55,54,9,40,1.18,20,5,2,7,4,2,
