Player,Nation,Pos,Age,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Matches
Gabriel,br BRA,GK,31-058,31,2765.0,89.0,90.4,30.7,31,89.0,30,0,,0,0.84,32.0,60.0,-28.0,-0.91,-0.91,30.8,47.5,-16.8,-0.55,-0.12,Matches
Robson,br BRA,"MF,FW",32-178,30,2226.0,74.0,72.7,24.7,28,77.0,11,2,37.0,1,0.87,31.0,45.0,-14.0,-0.57,0.94,27.9,37.2,-9.3,-0.38,0.58,Matches
Natanael,br BRA,DF,21-323,29,2146.0,74.0,70.1,23.8,25,81.0,16,4,28.0,3,0.9,28.0,39.0,-11.0,-0.46,1.21,23.7,32.0,-8.3,-0.35,0.62,Matches
Marcelino Moreno,ar ARG,MF,29-152,29,2126.0,73.0,69.5,23.6,25,80.0,12,4,29.0,3,0.83,28.0,41.0,-13.0,-0.55,0.9,24.9,34.3,-9.5,-0.4,0.44,Matches
Bruno Gomes,br BRA,MF,22-234,27,2047.0,76.0,66.9,22.7,24,81.0,12,3,38.0,0,0.74,26.0,42.0,-16.0,-0.7,0.36,24.1,35.2,-11.0,-0.49,0.15,Matches
Henrique,br BRA,DF,37-041,24,2024.0,84.0,66.1,22.5,23,88.0,21,1,9.0,5,1.13,30.0,38.0,-8.0,-0.36,1.38,23.5,31.5,-7.9,-0.35,0.53,Matches
Jamerson,br BRA,"DF,FW",25-076,27,1759.0,65.0,57.5,19.5,20,81.0,14,7,19.0,5,0.93,23.0,44.0,-21.0,-1.07,-0.59,23.5,34.1,-10.7,-0.55,-0.03,Matches
Benjamín Kuscevic,cl CHI,DF,27-206,20,1755.0,88.0,57.4,19.5,20,88.0,19,0,,0,0.9,21.0,42.0,-21.0,-1.08,-0.59,21.5,34.3,-12.8,-0.66,-0.29,Matches
Victor Luis,br BRA,DF,30-154,23,1478.0,64.0,48.3,16.4,16,81.0,8,7,27.0,10,1.13,18.0,25.0,-7.0,-0.43,0.77,14.6,21.7,-7.1,-0.43,0.2,Matches
Matheus Bianqui,br BRA,MF,25-297,24,1192.0,50.0,39.0,13.2,15,65.0,2,9,23.0,6,0.88,14.0,24.0,-10.0,-0.76,0.11,12.6,17.5,-4.9,-0.37,0.27,Matches
Sebastián Gómez,co COL,MF,27-174,17,1179.0,69.0,38.5,13.1,15,73.0,4,2,39.0,0,0.88,19.0,28.0,-9.0,-0.69,0.22,13.4,23.8,-10.4,-0.8,-0.43,Matches
Islam Slimani,dz ALG,FW,35-159,11,817.0,74.0,26.7,9.1,10,78.0,4,1,39.0,0,1.09,12.0,19.0,-7.0,-0.77,0.07,8.5,13.9,-5.4,-0.6,-0.09,Matches
Bruno Viana,br BRA,DF,28-292,10,811.0,81.0,26.5,9.0,9,89.0,8,1,14.0,3,0.55,11.0,20.0,-9.0,-1.0,-0.24,8.3,16.1,-7.8,-0.87,-0.45,Matches
Alef Manga,br BRA,"FW,MF",28-360,10,804.0,80.0,26.3,8.9,9,87.0,8,1,17.0,0,0.8,9.0,17.0,-8.0,-0.9,-0.1,10.0,13.4,-3.5,-0.39,0.2,Matches
Willian Farias,br BRA,MF,34-171,12,795.0,66.0,26.0,8.8,9,79.0,7,3,28.0,3,0.83,11.0,17.0,-6.0,-0.68,0.19,9.2,11.3,-2.1,-0.24,0.39,Matches
Andrey Ramos do Nascimento,br BRA,MF,25-282,22,908.0,41.0,29.7,10.1,8,71.0,2,14,24.0,11,0.95,13.0,19.0,-6.0,-0.59,0.33,11.3,16.3,-5.0,-0.49,0.06,Matches
